_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
174,ARH0251,46-52 Laing Street,52 Laing St,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,6,0,0,"{""coordinates"": [[-79.32716007, 43.663138]], ""type"": ""MultiPoint""}"
175,ARH0252,350 Bloor Street East,350 Bloor St. E,Approved OPAs and Zoning By-Law Amendments,11,University-Rosedale,16,0,0,"{""coordinates"": [[-79.37873583, 43.67227]], ""type"": ""MultiPoint""}"
176,ARH0253,34 - 42 Maitland Street,34 Maitland St.,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,10,0,0,"{""coordinates"": [[-79.38240192, 43.664602]], ""type"": ""MultiPoint""}"
177,ARH0254,1117 Danforth Avenue,1117 Danforth Ave,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,14,41,26,"{""coordinates"": [[-79.334058, 43.680931]], ""type"": ""MultiPoint""}"
178,ARH0255,1113-1125 Dundas Street West,1113 Dundas Street W,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,28,68,0,"{""coordinates"": [[-79.41972082, 43.649471]], ""type"": ""MultiPoint""}"
179,ARH0257,191-199 College Street and 74-76 Henry Street,191 College St,Planning Applications Under Review,11,University-Rosedale,408,0,0,"{""coordinates"": [[-79.39478277, 43.658842]], ""type"": ""MultiPoint""}"
180,ARH0258,34-70 Montgomery Avenue,34 Montgomery Ave,Approved OPAs and Zoning By-Law Amendments,8,Eglinton-Lawrence,10,0,0,"{""coordinates"": [[-79.40002192, 43.709744]], ""type"": ""MultiPoint""}"
181,ARH0259,"245, 251, 257 Queen Street East and 348, 354 Richmond Street East",348 Richmond St. E,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,30,0,0,"{""coordinates"": [[-79.36857932, 43.653979]], ""type"": ""MultiPoint""}"
182,ARH0260,"261-285 Queen Street East, 360, 384, 410 Richmond Street East and 90, 106 Ontario Street",261 Queen St. E.,Issued Building Permit,13,Toronto Centre,13,0,0,"{""coordinates"": [[-79.36816116, 43.654722]], ""type"": ""MultiPoint""}"
183,ARH0261,8 Dawes Road,8 Dawes Rd.,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,12,0,0,"{""coordinates"": [[-79.2966325, 43.687727]], ""type"": ""MultiPoint""}"
184,ARH0262,"386-394 Symington Avenue, 485 Perth Avenue & 17 Kingsley Avenue",386 Symington Ave,Started Construction,9,Davenport,6,0,0,"{""coordinates"": [[-79.45267292, 43.66785]], ""type"": ""MultiPoint""}"
185,ARH0263,309 Cherry Street,309 Cherry St.,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,97,0,0,"{""coordinates"": [[-79.3532824, 43.646925]], ""type"": ""MultiPoint""}"
186,ARH0264,2575 & 2625 Danforth Avenue; 2681 Danforth Avenue;and 2721 Danforth Avenue,2575 Danforth Ave,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,47,0,0,"{""coordinates"": [[-79.30141423, 43.693568]], ""type"": ""MultiPoint""}"
187,ARH0265,15 Denison Avenue,15 Denison Ave,Pre-Planning,10,Spadina-Fort York,80,0,0,"{""coordinates"": [[-79.40046556, 43.648606]], ""type"": ""MultiPoint""}"
188,ARH0266,267 & 275 Merton Street,275 Merton St,Planning Applications Under Review,12,Toronto-St. Pauls,148,346,0,"{""coordinates"": [[-79.387918, 43.697772]], ""type"": ""MultiPoint""}"
189,ARH0267,20-22 Front Street West,20 Front Street,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,16,0,0,"{""coordinates"": [[-79.377881, 43.646777]], ""type"": ""MultiPoint""}"
